"76,-84","0,0","2,-6","6,-13","13,-19","20,-29","29,-40","40,-52","52,-63","62,-71","70,-78"
"11,-116","0,0","-2,-10","-3,-20","-4,-31","-4,-46","0,-59","4,-72","6,-86","9,-97","10,-107"
"-64,-48","0,0","-3,-6","-7,-10","-14,-16","-22,-24","-30,-29","-37,-33","-45,-37","-53,-40","-61,-42"
"202,-176","0,0","22,-9","51,-27","81,-50","110,-76","135,-96","150,-110","164,-124","184,-140","193,-160"
"106,116","0,0","7,8","20,19","36,28","56,38","78,51","94,65","103,78","107,91","105,104"
"-1,-24","0,0","-2,-1","-4,-2","-4,-5","-4,-8","-4,-11","-4,-14","-3,-17","-2,-19","-2,-22"
"83,67","0,0","10,3","20,9","31,17","43,25","54,34","61,43","66,49","71,56","74,65"
"140,-163","0,0","8,-8","20,-20","37,-35","63,-57","88,-82","112,-106","133,-125","147,-139","148,-154"
"-62,-175","0,0","-4,-9","-5,-23","-8,-41","-12,-62","-18,-88","-28,-109","-39,-130","-48,-147","-57,-163"
"107,-106","0,0","7,-8","15,-16","25,-26","37,-37","51,-50","66,-63","80,-75","92,-86","103,-96"
"196,-121","0,0","27,-24","81,-69","122,-102","145,-121","167,-134","143,-126","118,-105","129,-101","163,-109"
"38,70","0,0","3,5","7,10","14,18","20,24","25,32","30,38","35,46","37,54","38,62"
"-172,4","0,0","-11,-2","-27,-4","-52,-7","-83,-12","-113,-14","-135,-16","-150,-16","-161,-14","-167,-5"
"-72,-179","0,0","-8,-15","-20,-32","-33,-55","-46,-78","-58,-102","-63,-121","-66,-138","-61,-151","-66,-165"
"-109,44","0,0","-10,1","-20,5","-32,8","-44,12","-57,18","-69,24","-84,30","-94,35","-102,40"
"142,15","0,0","11,1","25,1","42,1","61,1","82,2","103,3","119,5","134,8","147,10"
"-61,-158","0,0","-8,-13","-18,-29","-28,-46","-37,-67","-45,-86","-48,-101","-50,-115","-56,-127","-62,-142"
"221,85","0,0","14,6","33,12","63,20","97,30","132,41","160,53","180,62","196,70","210,78"
"134,-58","0,0","10,-7","23,-14","42,-22","64,-29","82,-36","99,-41","114,-46","122,-53","134,-58"
"-110,-23","0,0","-8,0","-17,-2","-32,-4","-47,-7","-62,-10","-75,-13","-87,-16","-96,-18","-105,-20"
"208,114","0,0","15,5","40,11","75,18","119,32","159,49","191,66","210,81","220,94","216,106"
"-206,-149","0,0","-14,-10","-42,-22","-76,-40","-109,-62","-142,-82","-169,-102","-190,-119","-206,-131","-216,-142"
"132,-3","0,0","9,1","20,2","34,2","51,2","66,2","80,1","96,-1","110,-2","121,-3"
"169,-4","0,0","14,0","34,1","63,1","98,-2","131,-3","157,-4","173,-4","185,-2","181,-3"
"-95,140","0,0","-7,6","-17,15","-28,29","-40,50","-52,69","-64,87","-74,102","-81,115","-88,130"
